iteration number 0: mse = 30687.05980557963, generation nums = 26 
iteration number 1: mse = 47620.83972106707, generation nums = 25 
iteration number 2: mse = 929.9490063142641, generation nums = 33 
iteration number 3: mse = 722.7435704357767, generation nums = 30 
iteration number 4: mse = 3265.2788115378785, generation nums = 35 
iteration number 5: mse = 1040.8190136906023, generation nums = 30 
iteration number 6: mse = 1293.6335626606813, generation nums = 26 
iteration number 7: mse = 628.204075473129, generation nums = 31 
iteration number 8: mse = 4675.9174007705105, generation nums = 36 
iteration number 9: mse = 191.12611086160155, generation nums = 34 
iteration number 10: mse = 2827.2377747164805, generation nums = 23 
iteration number 11: mse = 295.7915350235991, generation nums = 31 
iteration number 12: mse = 8568.77484252598, generation nums = 29 
iteration number 13: mse = 1897.0617666760643, generation nums = 31 
iteration number 14: mse = 1092.1442679888883, generation nums = 29 
iteration number 15: mse = 9002.477044956519, generation nums = 27 
iteration number 16: mse = 369.9702608782176, generation nums = 32 
iteration number 17: mse = 1565.6408922433125, generation nums = 28 
iteration number 18: mse = 1145.6476016046456, generation nums = 32 
iteration number 19: mse = 1397.8599136280259, generation nums = 28 
iteration number 20: mse = 471.5411013344603, generation nums = 32 
iteration number 21: mse = 1573.9642496892236, generation nums = 29 
iteration number 22: mse = 1003.5066593153898, generation nums = 30 
iteration number 23: mse = 2786.507812738346, generation nums = 30 
iteration number 24: mse = 2732.3230991872574, generation nums = 28 
iteration number 25: mse = 3439.9627014141715, generation nums = 32 
iteration number 26: mse = 1396.6151694228224, generation nums = 34 
iteration number 27: mse = 1595.829074980758, generation nums = 25 
iteration number 28: mse = 1764.940867967838, generation nums = 33 
iteration number 29: mse = 290.42801009928024, generation nums = 30 
the best mse of all: 191.12611086160155 
the average mse of all: 4542.459857492747 
